name,description
Equinox Hotel New York,"The Equinox Fitness Club at the Equinox Hotel New York at Hudson Yards has multiple floors of group fitness studios and a strength training floor.Open to guests of the hotel, hours are 6 am - 9 pm Monday through Thursday, 6 am to 8 pm on Fridays, and 7 am to 8 pm on weekends.Gym equipment includes treadmills, ellipticals, stationary bikes, rowers, weight machines, cable machines, squat racks, barbells, dumbbells, and kettlebells.At Equinox Hotel, you’ll have access to a cold plunge and sauna."
Sheraton New York Times Square Hotel,"The Sheraton New York Times Square Hotel is located right in the thick of the action on Seventh Avenue.The 4,000-square-foot fitness center is beautifully designed and has a spacious, circular layout that provides guests with plenty of room to exercise.There are tons of cardio machines available, as well as free weights (including dumbbells up to 100 pounds), a squat rack, weight machines, and kettlebells.The Sheraton New York Times Square now offers ten Peloton bikes in a dedicated studio. You can have 24-hour access to studio cycling classes and there are six group rides Monday through Thursday, five on Friday and up to four on the weekend."
The Mark Hotel,"The Mark Hotel is a five-star, luxury hotel located on Manhattan's Upper East Side.The hotel's fitness center reflects the high standards of the rest of the hotel and guests can expect a state-of-the-art, 1,400-square-foot gym with top-of-the-line equipment.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, dumbbells, barbells, benches, and a squat rack."
The William Vale,"Located across the East River from Lower Manhattan is The William Vale Hotel in Williamsburg, Brooklyn. The rooms are a bit small but they all have floor-to-ceiling windows and a balcony for an incredible view of Manhattan.The gym is open 24 hours and has treadmills, ellipticals, cable machines, dumbbells, and benches."
Parker New York,"The Parker New York hotel in Midtown is a fantastic place to stay when visiting New York City, with a rooftop pool and incredible views of Central Park.Guests have free access to the 15,000-square-foot multi-level Gravity fitness center.Equipment includes treadmills, ellipticals, rowers, heavy dumbbells, barbells, and weight machines."
New York Hilton Midtown,"The New York Hilton Midtown is a common place to stay for business travelers coming to New York City and is pretty conventional in design and layout.It's also located only ten minutes from Times Square, so it's a solid choice for anyone visiting the big city.Beautifully designed and spacious, the Hilton Midtown's gym boasts a ton of treadmills, cardio machines, dumbbells, and even a few barbells. It is open 24 hours a day."
1 Hotel Central Park,"The Field House gym at 1 Hotel Central Park is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, Peloton bikes, a SkiErg, squat rack, barbells, dumbbells, kettlebells, a turf area, a sled, and a rower."
"The Ritz-Carlton New York, Central Park","The newly redesigned fitness center at The Ritz-Carlton New York, Central Park is both spacious and well-equipped.Gym equipment includes cardio machines, weight machines, dumbbells, barbells, kettlebells, medicine balls, and a smith machine."
The Wall Street Hotel,"The fitness center at The Wall Street Hotel is open 24 hours a day, 7 days a week.Gym equipment includes Peloton bikes, a Mirror (now Lululemon Studio), dumbbells, barbells, benches, and squat racks."
Tempo by Hilton New York Times Square,"The fitness center at Tempo by Hilton New York Times Square is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, Peloton bikes, an Assault rower, cable machines, a Smith machine, dumbbells, and benches."
Hotel 32|32,There is no in-house fitness center at the boutique Hotel 32|32 in the Flatiron - Murray Hill section of Manhattan but guests have free 24-hour access to Solace New York - a full CrossFit gym located just steps away from the hotel.
Virgin Hotels New York City,"Virgin Hotels New York City opened in 2023 in midtown Manhattan and the fifth-floor gym features treadmills, ellipticals, weight machines, cable machines, dumbbells, kettlebells, and benches."
Renaissance New York Midtown Hotel,"Guests of the Renaissance New York Midtown Hotel receive free access to a Planet Fitness located within the building.The two-story Planet Fitness is open 24 hours a day, 7 days a week and has cardio machines, weight machines, and free weights."
The Muse New York,"The fitness center at The Muse New York is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rowing machine, a cable machine, dumbbells, kettlebells, benches, and a boxing bag."
London Marriott Hotel County Hall,"The Club at County Hall fitness center at London Marriott Hotel County Hall encompasses an indoor swimming pool and a 6,000-square-foot gym with state-of-the-art equipment.The gym features treadmills, ellipticals, stationary bikes, rowers, dumbbells, barbells, monkey bars, a power rack, a yoga studio, and a spin bike studio.The gym is open from 5:30 am to 11:00 pm Monday to Friday and from 6 am to 11 pm on weekends."
The Bulgari Hotel,"Workshop Gymnasium in The Bulgari Hotel in London has functional fitness, yoga, pilates, and boxing classes.TRX straps, Olympic-style rings, and kettlebells offer functional fitness enthusiasts a great way to stay fit while traveling.Through a partnership with Les Mullins, one of the most prominent personal trainers in the world, The Bulgari Hotel is able to offer its guests a first-class fitness experience."
W London,"The fitness center at the W London is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, bikes, a cable machine, dumbbells, barbells, kettlebells, a squat rack, and benches."
Mondrian Shoreditch London,"The state-of-the-art gym at Mondrian Shoreditch London is open 24 hours a day.Gym equipment includes treadmills, a rower, a Stairmaster, a Peloton bike, dumbbells, kettlebells, barbells, benches, and a squat rack.Personal training sessions are available on request."
The Lanesborough,"The spacious gym at The Lanesborough hotel is packed with fitness equipment, including treadmills, ellipticals, spin bikes, rowers, a heavy boxing bag, dumbbells, kettlebells, barbells, benches, a squat rack, TRX zone, and a Technogym SKILLMILL treadmill.The hotel also offers a series of group classes with no more than eight people in yoga, reformer Pilates, Bodysim boxing, and HIIT TRX."
